stop_id,stop_name,stop_lat,stop_lon,color
01METRO-Polanco,Metro Polanco,19.43355,-99.19093,E87511
01METRO-ElRosario,Metro El Rosario,19.50474,-99.20012,E87511
01METRO-Constituyentes,Metro Constituyentes,19.41177,-99.19135,E87511
01METRO-Camarones,Metro Camarones,19.47911,-99.19004,E87511
01METRO-BarrancadelMuerto,Metro Barranca del Muerto,19.3615,-99.18926,E87511
01METRO-Auditorio,Metro Auditorio,19.42576,-99.19203,E87511
01METRO-AquilesSerdan,Metro Aquiles Serdán,19.49064,-99.19535,E87511
01METRO-Vallejo,Metro Vallejo,19.48985,-99.156,D81E05
01METRO-Tezozomoc,Metro Tezozómoc,19.4949,-99.19602,D81E05
01METRO-Norte45,Metro Norte 45,19.48867,-99.16299,D81E05
01METRO-MartinCarrera,Metro Martín Carrera,19.48294,-99.10748,D81E05
01METRO-Lindavista,Metro Lindavista,19.48811,-99.13507,D81E05
01METRO-LaVilla-Basilica,Metro La Villa/Basílica,19.48174,-99.11837,D81E05
01METRO-InstitutodelPetroleo,Metro Instituto del Petróleo,19.49104,-99.14813,D81E05
01METRO-Ferreria,Metro Ferrería/Arena Ciudad de México,19.49067,-99.17415,D81E05
01METRO-Deportivo18deMarzo,Metro Deportivo 18 de Marzo,19.48348,-99.1253,AD9B0C
01METRO-Azcapotzalco,Metro UAM Azcapotzalco,19.49091,-99.18627,D81E05
01METRO-ValleGomez,Metro Valle Gómez,19.45887,-99.11949,F9D616
01METRO-TerminalAerea,Metro Terminal Aérea,19.43427,-99.08808,F9D616
01METRO-Politecnico,Metro Politécnico,19.50068,-99.14921,F9D616
01METRO-Misterios,Metro Misterios,19.46311,-99.13024,F9D616
01METRO-LaRaza,Metro La Raza,19.46967,-99.13652,AD9B0C
01METRO-Hangares,Metro Hangares,19.42435,-99.08813,F9D616
01METRO-EduardoMolina,Metro Eduardo Molina,19.4514,-99.1053,F9D616
01METRO-Consulado,Metro Consulado,19.45514,-99.11354,F9D616
01METRO-AutobusesdelNorte,Metro Autobuses del Norte,19.47907,-99.14065,F9D616
01METRO-Aragon,Metro Aragón,19.45126,-99.09621,F9D616
01METRO-Talisman,Metro Talismán,19.47436,-99.10801,7FBCAA
01METRO-FrayServando,Metro Fray Servando,19.42159,-99.12053,7FBCAA
01METRO-Candelaria,Metro Candelaria,19.42876,-99.11943,7FBCAA
01METRO-CanaldelNorte,Metro Canal del Norte,19.44895,-99.11613,7FBCAA
01METRO-Bondojito,Metro Bondojito,19.46463,-99.11198,7FBCAA
01METRO-Viveros/DerechosHumanos,Metro Viveros/ Derechos Humanos,19.35346,-99.176,AD9B0C
