stop_id,stop_name,stop_lat,stop_lon,,,
01METRO-Norte45,Norte 45,19.48867,-99.16299,,,
01METRO-MartinCarrera,Mart�n Carrera,19.48294,-99.10748,,,
01METRO-Lindavista,Lindavista,19.48811,-99.13507,,,
01METRO-LaVilla-Basilica,La Villa/Bas�lica,19.48174,-99.11837,,,
01METRO-InstitutodelPetroleo,Instituto del Petr�leo,19.49104,-99.14813,,,
01METRO-Ferreria,Ferrer�a/Arena Ciudad de M�xico,19.49067,-99.17415,,,
01METRO-Deportivo18deMarzo,Deportivo 18 de Marzo,19.48348,-99.1253,,,
01METRO-Azcapotzalco,UAM Azcapotzalco,19.49091,-99.18627,,,
01METRO-ValleGomez,Valle G�mez,19.45887,-99.11949,,,
01METRO-TerminalAerea,Terminal A�rea,19.43427,-99.08808,,,
01METRO-Politecnico,Polit�cnico,19.50068,-99.14921,,,
01METRO-Misterios,Misterios,19.46311,-99.13024,,,
01METRO-LaRaza,La Raza,19.46967,-99.13652,,,
01METRO-Hangares,Hangares,19.42435,-99.08813,,,
01METRO-EduardoMolina,Eduardo Molina,19.4514,-99.1053,,,
01METRO-Consulado,Consulado,19.45514,-99.11354,,,
01METRO-AutobusesdelNorte,Autobuses del Norte,19.47907,-99.14065,,,
01METRO-Aragon,Arag�n,19.45126,-99.09621,,,
01METRO-Talisman,Talism�n,19.47436,-99.10801,,,
01METRO-FrayServando,Fray Servando,19.42159,-99.12053,,,
01METRO-Candelaria,Candelaria,19.42876,-99.11943,,,
01METRO-CanaldelNorte,Canal del Norte,19.44895,-99.11613,,,
01METRO-Bondojito,Bondojito,19.46463,-99.11198,,,
01METRO-Viveros/DerechosHumanos,Viveros/ Derechos Humanos,19.35346,-99.176,,,
01METRO-Universidad,Universidad,19.32435,-99.17394,,,
01METRO-Tlatelolco,Tlatelolco,19.45506,-99.14313,,,
01METRO-Potrero,Potrero,19.47719,-99.13201,,,
01METRO-NinosHeroes,Ni�os H�roes/ Poder Judicial CDMX,19.41948,-99.15036,,,
01METRO-MiguelAngeldeQuevedo,Miguel �ngel de Quevedo,19.34625,-99.18076,,,
01METRO-Juarez,Ju�rez,19.43325,-99.14768,,,
01METRO-IndiosVerdes,Indios Verdes,19.49534,-99.11951,,,
01METRO-HospitalGeneral,Hospital General,19.41376,-99.15325,,,
01METRO-Hidalgo,Hidalgo,19.43738,-99.14678,,,
01METRO-Eugenia,Eugenia,19.38617,-99.1572,,,
01METRO-Etiopia/PlazadelaTransparencia,Etiop�a/Plaza de la Transparencia,19.39592,-99.15603,,,
01METRO-DivisiondelNorte,Divisi�n del Norte,19.37918,-99.15948,,,
01METRO-Coyoacan,Coyoac�n,19.36136,-99.17086,,,
01METRO-Copilco,Copilco,19.3361,-99.17697,,,
01METRO-Balderas,Balderas,19.42648,-99.14906,,,
01METRO-Zocalo,Z�calo,19.4325,-99.13225,,,
01METRO-Xola,Xola,19.39521,-99.13781,,,
01METRO-VilladeCortes,Villa de Cort�s,19.38758,-99.13896,,,
01METRO-Viaducto,Viaducto,19.40087,-99.1369,,,
01METRO-Tasquena,Tasquena,19.34376,-99.13953,,,
01METRO-SanCosme,San Cosme,19.4419,-99.16066,,,
01METRO-SanAntonioAbad,San Antonio Abad,19.41602,-99.13454,,,
01METRO-Revolucion,Revoluci�n,19.43923,-99.15423,,,
01METRO-Portales,Portales,19.36992,-99.14157,,,
01METRO-Popotla,Popotla,19.45291,-99.17549,,,
01METRO-PinoSuarez,Pino Su�rez,19.42438,-99.13294,,,
01METRO-Panteones,Panteones,19.45864,-99.20295,,,
01METRO-Normal,Normal,19.44456,-99.16727,,,
01METRO-Nativitas,Nativitas,19.38005,-99.14002,,,
01METRO-GeneralAnaya,General Anaya,19.35324,-99.14501,,,
01METRO-Cuitlahuac,Cuitl�huac,19.45725,-99.1815,,,
01METRO-CuatroCaminos,Cuatro Caminos,19.45959,-99.21584,,,
01METRO-ColegioMilitar,Colegio Militar,19.44927,-99.17178,,,
01METRO-Allende,Allende,19.43556,-99.13687,,,
01METRO-Moctezuma,Moctezuma,19.42685,-99.1098,,,
01METRO-Zaragoza,Zaragoza,19.41192,-99.08229,,,
01METRO-Sevilla,Sevilla,19.42185,-99.17112,,,
01METRO-BoulevardPuertoAereo,Boulevard Puerto A�reo,19.41994,-99.09626,,,
01METRO-Observatorio,Observatorio,19.39828,-99.2004,,,
01METRO-Merced,Merced,19.42549,-99.12503,,,
01METRO-Juanacatlan,Juanacatl�n,19.41295,-99.18198,,,
01METRO-IsabellaCatolica,Isabel la Cat�lica,19.42639,-99.13783,,,
01METRO-Insurgentes,Insurgentes,19.42365,-99.16329,,,
01METRO-GomezFarias,G�mez Far�as,19.41648,-99.09021,,,
01METRO-Cuauhtemoc,Cuauht�moc,19.42566,-99.1546,,,
01METRO-Chapultepec,Chapultepec,19.42075,-99.17642,,,
01METRO-Balbuena,Balbuena,19.42336,-99.10277,,,
