Origen,Destino,Distancia
METROBUSL7-GTACUI0,METROBUSL7-GARIBALDI0,711.7965087875183
METROBUSL7-GARIBALDI0,METROBUSL7-GTAVIOLETA0,530.2213430404697
METROBUSL7-GTAVIOLETA0,METROBUSL3-HIDALGO,588.9776732667125
METROBUSL3-HIDALGO,METROBUSL7-CABALLITO0,345.00996286518136
METROBUSL7-CABALLITO0,METROBUSL7-PARIS0,837.6158147198076
METROBUSL7-PARIS0,METROBUSL1-REFORMA,298.30800093136963
METROBUSL1-REFORMA,METROBUSL1-HAMBURGO,333.15321975550484
METROBUSL1-HAMBURGO,METROBUSL7-PALMA0,382.34308504485534
METROBUSL7-PALMA0,METROBUSL7-ANGEL0,464.85367461988307
METROBUSL7-ANGEL0,METROBUSL7-DIANA0,253.3172004370538
METROBUSL7-DIANA0,METROBUSL7-CHAPU0,392.28585519608407
METROBUSL7-CHAPU0,METROBUSL7-GANDHI1,696.5675103832863
METROBUSL7-GANDHI1,METROBUSL7-ANTROPO0,378.4564239619826
METROBUSL7-ANTROPO0,METROBUSL7-AUDITORIO0,953.9315830364493
METROBUSL7-AUDITORIO0,METROBUSL7-CAMPOMARTE0,645.0518830263248
01METRO-Garibaldi,METROBUSL7-GARIBALDI0,138.59091916756358
TRENLIGEROL1-XOCHIMILCO,TRENLIGEROL1-FCOGOITIA,364.81816403933175
TRENLIGEROL1-FCOGOITIA,TRENLIGEROL1-HUICHAPAN,878.5990417763079
TRENLIGEROL1-HUICHAPAN,TRENLIGEROL1-LANORIA,822.4954245437003
TRENLIGEROL1-LANORIA,TRENLIGEROL1-TEPEPAN,1518.1037979448656
TRENLIGEROL1-TEPEPAN,TRENLIGEROL1-PERIFERICO,772.2371654944991
TRENLIGEROL1-PERIFERICO,TRENLIGEROL1-XOMALI,994.8133297977354
TRENLIGEROL1-XOMALI,TRENLIGEROL1-HUIPULCO,1060.660064830191
TRENLIGEROL1-HUIPULCO,TRENLIGEROL1-EAZTECA,614.8295934909756
TRENLIGEROL1-EAZTECA,TRENLIGEROL1-ELVERGEL,729.2989427725627
TRENLIGEROL1-ELVERGEL,TRENLIGEROL1-TEXTITLAN,651.7866363702999
TRENLIGEROL1-TEXTITLAN,TRENLIGEROL1-REGISTROFRAL,627.0245560732324
TRENLIGEROL1-REGISTROFRAL,TRENLIGEROL1-NEZAHUALPILLI,652.7346064130675
TRENLIGEROL1-NEZAHUALPILLI,TRENLIGEROL1-XOTEPINGO,428.75213675065334
TRENLIGEROL1-XOTEPINGO,TRENLIGEROL1-LAVIRGEN,488.9603953714293
TRENLIGEROL1-LAVIRGEN,TRENLIGEROL1-CDJARDIN,465.5532257851338
TRENLIGEROL1-CDJARDIN,TRENLIGEROL1-LASTORRES,589.7604542371055
TRENLIGEROL1-LASTORRES,TRENLIGEROL1-TASQUENA,444.50233314700904
TRENLIGEROL1-TASQUENA,01METRO-Tasquena,100.06808631239389
01METRO-Constitucionde1917,CABLEBUSL2-CONST1917,0.0
CABLEBUSL2-CONST1917,CABLEBUSL2-QUETZALCOA,2937.2659740909357
CABLEBUSL2-QUETZALCOA,CABLEBUSL2-TORRESBUENA,1395.4687054380431
CABLEBUSL2-TORRESBUENA,CABLEBUSL2-XALPA,1333.3820162392608
CABLEBUSL2-XALPA,CABLEBUSL2-LOMASESTANC,1254.5969844733245
CABLEBUSL2-LOMASESTANC,CABLEBUSL2-SANMIGUELTEO,1970.3007635620254
CABLEBUSL2-SANMIGUELTEO,CABLEBUSL2-STAMARTA,1837.7469065466714
CABLEBUSL2-STAMARTA,01METRO-SantaMarta,153.50756857219739
01METRO-IndiosVerdes,CABLEBUSL1-INDIOSVERDE,288.4692170594973
CABLEBUSL1-INDIOSVERDE,CABLEBUSL1-STAMATICOMAN,2172.546225382902
CABLEBUSL1-STAMATICOMAN,CABLEBUSL1-PASTORA,1891.5952356468067
CABLEBUSL1-PASTORA,CABLEBUSL1-CAMPOSREVOL,1441.7723188456803
CABLEBUSL1-CAMPOSREVOL,CABLEBUSL1-TLALPEXCO,1702.5685897986039
CABLEBUSL1-TLALPEXCO,CABLEBUSL1-CUAUTEPEC,1674.4843479826818
SUBURBANOL1-BUENAVISTA,SUBURBANOL1-FORTUNA,5078.601550297794
SUBURBANOL1-FORTUNA,SUBURBANOL1-TLALNEPAN,5079.37224639437
SUBURBANOL1-TLALNEPAN,SUBURBANOL1-SANRAFAEL,3473.1019620239454
SUBURBANOL1-SANRAFAEL,SUBURBANOL1-LECHERIA,3871.8114482533542
SUBURBANOL1-LECHERIA,SUBURBANOL1-TULTITLAN,4090.9762723269723
SUBURBANOL1-TULTITLAN,SUBURBANOL1-CUAUTITLAN,3538.662751467668
