Origen,Destino,Distancia
01METRO-Escuadron201,01METRO-Atlalilco,1738
01METRO-Atlalilco,01METRO-Iztapalapa,732
01METRO-Iztapalapa,01METRO-CerrodelaEstrella,717
01METRO-CerrodelaEstrella,01METRO-UAMI,1135
01METRO-UAMI,01METRO-Constitucionde1917,1137
01METRO-Pantitlan,01METRO-Puebla,1380
01METRO-Puebla,01METRO-CiudadDeportiva,800
01METRO-CiudadDeportiva,01METRO-Velodromo,1110
01METRO-Velodromo,01METRO-Mixiuhca,821
01METRO-Mixiuhca,01METRO-Jamaica,942
01METRO-Jamaica,01METRO-Chabacano,1031
01METRO-Chabacano,01METRO-LazaroCardenas,1000
01METRO-LazaroCardenas,01METRO-CentroMedico,1059
01METRO-CentroMedico,01METRO-Chilpancingo,1152
01METRO-Chilpancingo,01METRO-Patriotismo,955
01METRO-Patriotismo,01METRO-Tacubaya,1133
01METRO-Pantitlan,01METRO-AgricolaOriental,1409
01METRO-AgricolaOriental,01METRO-CanaldeSanJuan,1093
01METRO-CanaldeSanJuan,01METRO-Tepalcates,1456
01METRO-Tepalcates,01METRO-Guelatao,1161
01METRO-Guelatao,01METRO-PenonViejo,2206
01METRO-PenonViejo,01METRO-Acatitla,1379
01METRO-Acatitla,01METRO-SantaMarta,1100
01METRO-SantaMarta,01METRO-LosReyes,1783
01METRO-LosReyes,01METRO-LaPaz,1956
01METRO-CiudadAzteca,01METRO-PlazaAragon,574
01METRO-PlazaAragon,01METRO-Olimpica,709
01METRO-Olimpica,01METRO-Ecatepec,596
01METRO-Ecatepec,01METRO-Muzquiz,1485
01METRO-Muzquiz,01METRO-RiodelosRemedios,1155
01METRO-RiodelosRemedios,01METRO-Impulsora,436
01METRO-Impulsora,01METRO-Nezahualcoyotl,1393
01METRO-Nezahualcoyotl,01METRO-VilladeAragon,1335
01METRO-VilladeAragon,01METRO-BosquesdeAragon,784
01METRO-BosquesdeAragon,01METRO-DeportivoOceania,1165
01METRO-DeportivoOceania,01METRO-Oceania,863
01METRO-Oceania,01METRO-RomeroRubio,809
01METRO-RomeroRubio,01METRO-RicardoFloresMagon,908
01METRO-RicardoFloresMagon,01METRO-SanLazaro,907
01METRO-SanLazaro,01METRO-Morelos,1296
01METRO-Morelos,01METRO-Tepito,498
01METRO-Tepito,01METRO-Lagunilla,611
01METRO-Lagunilla,01METRO-Garibaldi,474
01METRO-Garibaldi,01METRO-Guerrero,757
01METRO-Guerrero,01METRO-Buenavista,521
01METRO-Tlahuac,01METRO-Tlaltenco,1298
01METRO-Tlaltenco,01METRO-Zapotitlan,1115
01METRO-Zapotitlan,01METRO-Nopalera,1276
01METRO-Nopalera,01METRO-Olivos,1360
01METRO-Olivos,01METRO-Tezonco,490
01METRO-Tezonco,01METRO-PerifericoOriente,1545
01METRO-PerifericoOriente,01METRO-Calle11,1111
01METRO-Calle11,01METRO-LomasEstrella,906
01METRO-LomasEstrella,01METRO-SanAndresTomatlan,1060
01METRO-SanAndresTomatlan,01METRO-Culhuacan,990
01METRO-Culhuacan,01METRO-Atlalilco,1671
01METRO-Atlalilco,01METRO-Mexicaltzingo,1922
01METRO-Mexicaltzingo,01METRO-Ermita,1805
01METRO-Ermita,01METRO-EjeCentral,895
01METRO-EjeCentral,01METRO-ParquedelosVenados,1280
01METRO-ParquedelosVenados,01METRO-Zapata,563
01METRO-Zapata,01METRO-Hospital20deNoviembre,450
01METRO-Hospital20deNoviembre,01METRO-InsurgentesSur,725
01METRO-InsurgentesSur,01METRO-Mixcoac,651
METROBUSL1-INDIOSVERDES,METROBUSL1-DVO18MARZO,1274.8252666640874
METROBUSL1-DVO18MARZO,METROBUSL1-EUZKARO,530.4094962678606
METROBUSL1-EUZKARO,METROBUSL1-POTRERO,827.599621274022
METROBUSL1-POTRERO,METROBUSL1-LARAZA,1116.5540223501232
METROBUSL1-LARAZA,METROBUSL1-CIRCUITO,857.6437658261118
METROBUSL1-CIRCUITO,METROBUSL1-SANSIMON,416.70362151892033
METROBUSL1-SANSIMON,METROBUSL1-MANUELGLEZ,385.2206509572636
METROBUSL1-MANUELGLEZ,METROBUSL1-BUENAVISTA,1222.8981426216142
METROBUSL1-BUENAVISTA,METROBUSL1-ELCHOPO,410.6229288589148
METROBUSL1-ELCHOPO,METROBUSL1-REVOLUCION,349.67597276766077
METROBUSL1-REVOLUCION,METROBUSL1-PLAZAREPU,518.3887456332035
METROBUSL1-PLAZAREPU,METROBUSL1-REFORMA,379.38008481417097
METROBUSL1-REFORMA,METROBUSL1-HAMBURGO,654.4174850688231
METROBUSL1-HAMBURGO,METROBUSL1-GLORIETA,431.3681826961535
METROBUSL1-GLORIETA,METROBUSL1-DURANGO,474.8694050613879
METROBUSL1-DURANGO,METROBUSL1-ALVAROOBRE,390.19548939647785
METROBUSL1-ALVAROOBRE,METROBUSL1-SONORA,381.284287051685
METROBUSL1-SONORA,METROBUSL1-CAMPECHE,407.44134437060455
METROBUSL1-CAMPECHE,METROBUSL1-CHILPANCINGO,370.7955675022785
METROBUSL1-CHILPANCINGO,METROBUSL1-NVOLEON,528.1493040330157
METROBUSL1-NVOLEON,METROBUSL1-LAPIEDAD,473.5733751796396
METROBUSL1-LAPIEDAD,METROBUSL1-POLIFORUM,542.8948453223443
METROBUSL1-POLIFORUM,METROBUSL1-NAPOLES,419.75304480512324
METROBUSL1-NAPOLES,METROBUSL1-COLDELVALLE,465.21182715789706
METROBUSL1-COLDELVALLE,METROBUSL1-CIUDADDEPORTES,376.73018472343165
METROBUSL1-CIUDADDEPORTES,METROBUSL1-PARQUEHUND,332.6430038054019
METROBUSL1-PARQUEHUND,METROBUSL1-FELIXCUEVAS,620.8924509280937
